bestand;status;titel;bestaande_publish_date;bestaande_modified_date;git_eerste_datum;git_laatste_datum;voorgestelde_publish_date;voorgestelde_modified_date;notities;toegepast
achter-de-schermen-zo-ingewikkeld-is-matter-eigenlijk.html;AANVULLEN;Achter de schermen: zó ingewikkeld is Matter eigenlijk;;;2026-07-22;2026-07-22;2026-07-22;2026-07-22;bestand komt slechts in één Git-commit voor;
arduino_ide_esp8266_tutorial.html;AANVULLEN;Arduino IDE instellen voor ESP8266 (Wemos D1 Mini);;;2026-04-23;2026-07-22;2026-04-23;2026-07-22;;
beste-bewegingssensoren-voor-homey-2026.html;AANVULLEN;De beste bewegingssensoren voor Homey in 2026;;;2026-09-14;2026-09-14;2026-09-14;2026-09-14;bestand komt slechts in één Git-commit voor;
beste-slimme-stekkers-voor-homey-2026.html;AANVULLEN;De beste slimme stekkers voor Homey in 2026: welke past bij jouw huis?;;;2026-09-14;2026-09-14;2026-09-14;2026-09-14;bestand komt slechts in één Git-commit voor;
bewegingssensor_homeyduino.html;AANVULLEN;Bouw je eigen Bewegingssensor (PIR + Arduino);;;2026-04-23;2026-07-22;2026-04-23;2026-07-22;;
bouw-zelf-een-matter-sensor-co2-en-bme280.html;AANVULLEN;Zelf een Matter CO₂-sensor bouwen met ESP32, MH-Z19 en BME280;;;2026-07-22;2026-07-22;2026-07-22;2026-07-22;bestand komt slechts in één Git-commit voor;
Chriet-Titulaer-voorspellingen.html;AANVULLEN;Chriet Titulaer: de man die het slimme huis al zag aankomen;;;2026-06-03;2026-06-12;2026-06-03;2026-06-12;;
chriet-titulaer.html;AANVULLEN;Chriet Titulaer en het Huis van de Toekomst;;;2026-03-19;2026-06-12;2026-03-19;2026-06-12;;
gemini-voor-home.html;AANVULLEN;Gemini voor Home: wat verandert er ten opzichte van Google Assistant?;;;2026-04-23;2026-06-12;2026-04-23;2026-06-12;;
homey-bridge-satellite-mode-vs-homeylink.html;AANVULLEN;Homey Bridge Satellite Mode vs HomeyLink: wat zijn de verschillen?;;;2026-05-11;2026-06-12;2026-05-11;2026-06-12;;
homey-bridge.html;AANVULLEN;Maak kennis met de Homey Bridge;;;2026-04-23;2026-06-12;2026-04-23;2026-06-12;;
homey-chatgpt.html;AANVULLEN;Homey nu beschikbaar in ChatGPT: je slimme huis begrijpt straks gewoon wat je bedoelt;;;2026-06-04;2026-06-05;2026-06-04;2026-06-05;;
homey-ld2410-flow-tutorial.html;CONTROLEREN;LD2410 aanwezigheid gebruiken voor slimme flows in Homey;2026-06-12;2026-06-12;2026-06-12;2026-07-22;2026-06-12;2026-06-12;modified_date wijkt af van laatste Git-datum (2026-07-22);
homey-portal.html;AANVULLEN;Homey Portal: dit is Homey's nieuwe bedieningspaneel voor je slimme huis;;;2026-09-04;2026-09-04;2026-09-04;2026-09-04;bestand komt slechts in één Git-commit voor;
homey-pro-2023.html;AANVULLEN;Homey Pro (2023): de smart home hub die je losse apparaten eindelijk laat samenwerken;;;2026-04-23;2026-06-12;2026-04-23;2026-06-12;;
homey-pro-2026-review.html;HANDMATIG;Homey Pro 2026 + Energy Dongle review: meer rust in mijn smart home;;;;;;;geen Git-historie voor dit bestand gevonden;
homey-pro-mini-2026.html;AANVULLEN;Homey Pro mini: wat is het en hoe verschilt het van Bridge en Pro?;;;2026-04-23;2026-06-12;2026-04-23;2026-06-12;;
homey-self-hosted-2026.html;AANVULLEN;Homey Self-Hosted: maximale controle over je smart home;;;2026-04-23;2026-05-11;2026-04-23;2026-05-11;;
homeyduino-bh1750-lichtsensor-esp32.html;AANVULLEN;BH1750 lichtsensor op ESP32 en Homeyduino maken;;;2026-05-16;2026-07-22;2026-05-16;2026-07-22;;
homeyduino-clapper-switch.html;AANVULLEN;Bouw je eigen ‘Clapper’ switch met Homeyduino;;;2026-03-19;2026-07-22;2026-03-19;2026-07-22;;
homeyduino-co2-multisensor.html;AANVULLEN;Bouw zelf een slimme CO₂ multi-sensor voor Homey;;;2026-03-19;2026-07-22;2026-03-19;2026-07-22;;
homeyduino-co2-sensor.html;AANVULLEN;Bouw je eigen slimme CO₂ sensor met Homeyduino (UART);;;2026-03-19;2026-07-22;2026-03-19;2026-07-22;;
homeyduino-deur-en-raamsensor.html;AANVULLEN;Bouw je eigen deur- en raamsensor met Homeyduino;;;2026-04-23;2026-07-22;2026-04-23;2026-07-22;;
homeyduino-dht11-sensor.html;AANVULLEN;Homeyduino DHT11 sensor: eenvoudige klimaatdata voor slimmere Homey-flows;;;2026-04-23;2026-07-22;2026-04-23;2026-07-22;;
homeyduino-esp32-c3-c6-compatibiliteit.html;AANVULLEN;Homeyduino geschikt maken voor moderne ESP32 boards (C3 & C6);;;2026-05-03;2026-06-12;2026-05-03;2026-06-12;;
homeyduino-ld2410-aanwezigheidssensor.html;AANVULLEN;LD2410 aanwezigheids-sensor maken met Homeyduino en ESP32;;;2026-05-14;2026-07-22;2026-05-14;2026-07-22;;
homeyduino-licht-temperatuur-sensor.html;AANVULLEN;Bouw je eigen licht- en klimaatsensor met Homeyduino (LDR + DHT11);;;2026-03-19;2026-07-22;2026-03-19;2026-07-22;;
homeyduino-multi-relais.html;AANVULLEN;4-kanaals relaismodule aansturen met Homeyduino en een Wemos D1 Mini;;;2026-05-10;2026-07-22;2026-05-10;2026-07-22;;
homeyduino-temperatuursensor-ds18b120.html;AANVULLEN;Bouw je eigen DS18B20 temperatuursensor met Homeyduino;;;2026-05-03;2026-07-22;2026-05-03;2026-07-22;;
homeyscript-stroomprijs-vandaag-morgen.html;AANVULLEN;HomeyScript: laat Homey automatisch de goedkoopste stroomuren vinden;;;2026-05-03;2026-07-22;2026-05-03;2026-07-22;;
HVV-matter-installer.html;AANVULLEN;Installeer de HVV Matter Sensor eenvoudig vanuit je browser;;;2026-07-11;2026-09-04;2026-07-11;2026-09-04;;
keukendeur-herinnering-slim-google-home-tutorial.html;AANVULLEN;Keukendeur herinnering slim maken in Google Home Script Editor;;;2026-04-23;2026-06-12;2026-04-23;2026-06-12;;
matter-en-thread-uitgelegd.html;AANVULLEN;Wat is het verschil tussen Matter en Thread?;;;2026-04-23;2026-06-12;2026-04-23;2026-06-12;;
