bestand;status;artikeltype;titel;technische_punten;redactionele_punten;fixes_toegepast
achter-de-schermen-zo-ingewikkeld-is-matter-eigenlijk.html;GOED + REDACTIONEEL;techarticle;Achter de schermen: zó ingewikkeld is Matter eigenlijk;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
arduino_ide_esp8266_tutorial.html;GOED + REDACTIONEEL;howto;Arduino IDE instellen voor ESP8266 (Wemos D1 Mini);;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
beste-bewegingssensoren-voor-homey-2026.html;GOED + REDACTIONEEL;techarticle;De beste bewegingssensoren voor Homey in 2026;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
beste-slimme-stekkers-voor-homey-2026.html;GOED + REDACTIONEEL;techarticle;De beste slimme stekkers voor Homey in 2026: welke past bij jouw huis?;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
bewegingssensor_homeyduino.html;GOED + REDACTIONEEL;howto;Bouw je eigen Bewegingssensor (PIR + Arduino);;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
bouw-zelf-een-matter-sensor-co2-en-bme280.html;GOED + REDACTIONEEL;howto;Zelf een Matter CO₂-sensor bouwen met ESP32, MH-Z19 en BME280;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
Chriet-Titulaer-voorspellingen.html;GOED + REDACTIONEEL;techarticle;Chriet Titulaer: de man die het slimme huis al zag aankomen;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
chriet-titulaer.html;GOED + REDACTIONEEL;techarticle;Chriet Titulaer en het Huis van de Toekomst;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
gemini-voor-home.html;GOED + REDACTIONEEL;techarticle;Gemini voor Home: wat verandert er ten opzichte van Google Assistant?;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-bridge-satellite-mode-vs-homeylink.html;GOED + REDACTIONEEL;techarticle;Homey Bridge Satellite Mode vs HomeyLink: wat zijn de verschillen?;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-bridge.html;GOED + REDACTIONEEL;techarticle;Maak kennis met de Homey Bridge;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-chatgpt.html;GOED + REDACTIONEEL;techarticle;Homey nu beschikbaar in ChatGPT: je slimme huis begrijpt straks gewoon wat je bedoelt;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-ld2410-flow-tutorial.html;GOED + REDACTIONEEL;howto;LD2410 aanwezigheid gebruiken voor slimme flows in Homey;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homey-portal.html;GOED + REDACTIONEEL;techarticle;Homey Portal: dit is Homey's nieuwe bedieningspaneel voor je slimme huis;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-pro-2023.html;GOED + REDACTIONEEL;techarticle;Homey Pro (2023): de smart home hub die je losse apparaten eindelijk laat samenwerken;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-pro-2026-review.html;AANDACHT;review;Homey Pro 2026 + Energy Dongle review: meer rust in mijn smart home;publish_date ontbreekt | modified_date ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort oordeel ontbreekt | testcontext ontbreekt;
homey-pro-mini-2026.html;GOED + REDACTIONEEL;techarticle;Homey Pro mini: wat is het en hoe verschilt het van Bridge en Pro?;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-self-hosted-2026.html;GOED + REDACTIONEEL;techarticle;Homey Self-Hosted: maximale controle over je smart home;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homeyduino-bh1750-lichtsensor-esp32.html;GOED + REDACTIONEEL;howto;BH1750 lichtsensor op ESP32 en Homeyduino maken;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-clapper-switch.html;GOED + REDACTIONEEL;howto;Bouw je eigen ‘Clapper’ switch met Homeyduino;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-co2-multisensor.html;GOED + REDACTIONEEL;howto;Bouw zelf een slimme CO₂ multi-sensor voor Homey;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-co2-sensor.html;GOED + REDACTIONEEL;howto;Bouw je eigen slimme CO₂ sensor met Homeyduino (UART);;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-deur-en-raamsensor.html;GOED + REDACTIONEEL;howto;Bouw je eigen deur- en raamsensor met Homeyduino;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-dht11-sensor.html;GOED + REDACTIONEEL;howto;Homeyduino DHT11 sensor: eenvoudige klimaatdata voor slimmere Homey-flows;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-esp32-c3-c6-compatibiliteit.html;GOED + REDACTIONEEL;howto;Homeyduino geschikt maken voor moderne ESP32 boards (C3 & C6);;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-ld2410-aanwezigheidssensor.html;GOED + REDACTIONEEL;howto;LD2410 aanwezigheids-sensor maken met Homeyduino en ESP32;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-licht-temperatuur-sensor.html;GOED + REDACTIONEEL;howto;Bouw je eigen licht- en klimaatsensor met Homeyduino (LDR + DHT11);;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-multi-relais.html;GOED + REDACTIONEEL;howto;4-kanaals relaismodule aansturen met Homeyduino en een Wemos D1 Mini;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-temperatuursensor-ds18b120.html;GOED + REDACTIONEEL;howto;Bouw je eigen DS18B20 temperatuursensor met Homeyduino;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyscript-stroomprijs-vandaag-morgen.html;GOED + REDACTIONEEL;howto;HomeyScript: laat Homey automatisch de goedkoopste stroomuren vinden;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
HVV-matter-installer.html;GOED + REDACTIONEEL;howto;Installeer de HVV Matter Sensor eenvoudig vanuit je browser;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
keukendeur-herinnering-slim-google-home-tutorial.html;GOED + REDACTIONEEL;howto;Keukendeur herinnering slim maken in Google Home Script Editor;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
matter-en-thread-uitgelegd.html;GOED + REDACTIONEEL;techarticle;Wat is het verschil tussen Matter en Thread?;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
review-hue-st64-edison.html;GOED + REDACTIONEEL;review;Philips Hue ST64 Edison E27 review;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort oordeel ontbreekt | testcontext ontbreekt;
review-nest-wifi-pro.html;GOED + REDACTIONEEL;review;Nest Wifi Pro review: snel, stabiel en gezinsvriendelijk mesh wifi;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort oordeel ontbreekt | testcontext ontbreekt;
review-roomba-irobot-i7.html;GOED + REDACTIONEEL;review;iRobot Roomba i7+ review: nog steeds de moeite waard?;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort oordeel ontbreekt | testcontext ontbreekt;
robotstofzuiger-homey-tutorial.html;GOED + REDACTIONEEL;howto;Laat je robotstofzuiger slim schoonmaken met Homey;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
slimme-lampen-voor-homey-vergeleken.html;GOED + REDACTIONEEL;techarticle;Slimme lampen voor Homey vergeleken: Hue, IKEA, Innr, WiZ en Nanoleaf;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
waarom-dit-blog-bestaat.html;GOED + REDACTIONEEL;techarticle;Waarom dit blog bestaat;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
wat-is-homeyduino.html;GOED + REDACTIONEEL;techarticle;Wat is Homeyduino en wat kun je ermee?;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
wat-je-hebt-gemist-juli-2026.html;GOED + REDACTIONEEL;techarticle;Zelf bouwen met Matter;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
wat-je-hebt-gemist-juni-2026.html;GOED + REDACTIONEEL;techarticle;Wat je hebt gemist;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
wat-kun-je-doen-met-homey.html;GOED + REDACTIONEEL;techarticle;Wat kun je doen met Homey? Praktische toepassingen en inspiratie;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
zelf-een-matter-sensor-bouwen.html;GOED + REDACTIONEEL;techarticle;Zelf een Matter-sensor bouwen: van eerste idee tot werkende Web Installer;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
zonne-flows-homey-tutorial.html;GOED + REDACTIONEEL;howto;Zonne Flows in Homey maken: slim schakelen op zon, regen en zonnestraling;;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
