bestand;status;artikeltype;titel;technische_punten;redactionele_punten;fixes_toegepast
achter-de-schermen-zo-ingewikkeld-is-matter-eigenlijk.html;AANDACHT;techarticle;Achter de schermen: zó ingewikkeld is Matter eigenlijk;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
arduino_ide_esp8266_tutorial.html;AANDACHT;howto;Arduino IDE instellen voor ESP8266 (Wemos D1 Mini);2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
beste-bewegingssensoren-voor-homey-2026.html;AANDACHT;techarticle;De beste bewegingssensoren voor Homey in 2026;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
beste-slimme-stekkers-voor-homey-2026.html;AANDACHT;techarticle;De beste slimme stekkers voor Homey in 2026: welke past bij jouw huis?;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
bewegingssensor_homeyduino.html;AANDACHT;howto;Bouw je eigen Bewegingssensor (PIR + Arduino);2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
bouw-zelf-een-matter-sensor-co2-en-bme280.html;AANDACHT;howto;Zelf een Matter CO₂-sensor bouwen met ESP32, MH-Z19 en BME280;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
Chriet-Titulaer-voorspellingen.html;AANDACHT;techarticle;Chriet Titulaer: de man die het slimme huis al zag aankomen;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
chriet-titulaer.html;AANDACHT;techarticle;Chriet Titulaer en het Huis van de Toekomst;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
gemini-voor-home.html;AANDACHT;techarticle;Gemini voor Home: wat verandert er ten opzichte van Google Assistant?;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | hv-schema-type ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-bridge-satellite-mode-vs-homeylink.html;AANDACHT;techarticle;Homey Bridge Satellite Mode vs HomeyLink: wat zijn de verschillen?;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-bridge.html;AANDACHT;techarticle;Maak kennis met de Homey Bridge;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | hv-schema-type ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-chatgpt.html;AANDACHT;techarticle;Homey nu beschikbaar in ChatGPT: je slimme huis begrijpt straks gewoon wat je bedoelt;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-ld2410-flow-tutorial.html;AANDACHT;howto;LD2410 aanwezigheid gebruiken voor slimme flows in Homey;2 openende <body>-tags | 2 sluitende </body>-tags | script.js wordt 2× geladen | canonical ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homey-portal.html;AANDACHT;techarticle;Homey Portal: dit is Homey's nieuwe bedieningspaneel voor je slimme huis;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-pro-2023.html;AANDACHT;techarticle;Homey Pro (2023): de smart home hub die je losse apparaten eindelijk laat samenwerken;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-pro-2026-review.html;AANDACHT;review;Homey Pro 2026 + Energy Dongle review: meer rust in mijn smart home;2 openende <body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort oordeel ontbreekt | testcontext ontbreekt;
homey-pro-mini-2026.html;AANDACHT;techarticle;Homey Pro mini: wat is het en hoe verschilt het van Bridge en Pro?;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homey-self-hosted-2026.html;AANDACHT;techarticle;Homey Self-Hosted: maximale controle over je smart home;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
homeyduino-bh1750-lichtsensor-esp32.html;AANDACHT;howto;BH1750 lichtsensor op ESP32 en Homeyduino maken;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-clapper-switch.html;AANDACHT;howto;Bouw je eigen ‘Clapper’ switch met Homeyduino;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-co2-multisensor.html;AANDACHT;howto;Bouw zelf een slimme CO₂ multi-sensor voor Homey;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-co2-sensor.html;AANDACHT;howto;Bouw je eigen slimme CO₂ sensor met Homeyduino (UART);canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-deur-en-raamsensor.html;AANDACHT;howto;Bouw je eigen deur- en raamsensor met Homeyduino;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-dht11-sensor.html;AANDACHT;howto;Homeyduino DHT11 sensor: eenvoudige klimaatdata voor slimmere Homey-flows;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
